,PV804880.1_Eulimnogammarus_marituji_S_AmspA1_COI_EmaritujiLAmspY20_EmaS,PV804881.1_Eulimnogammarus_marituji_S_AmspA2_COI_EmaritujiLAmspY20_EmaS,PV804882.1_Eulimnogammarus_marituji_S_AmspA5_COI_EmaritujiLAmspY20_EmaS,PV804883.1_Eulimnogammarus_marituji_S_AmspA6_COI_EmaritujiLAmspY20_EmaS,PV804884.1_Eulimnogammarus_marituji_S_AmspA11_COI_EmaritujiLAmspY20_EmaS,PV804885.1_Eulimnogammarus_marituji_S_AmspA12_COI_EmaritujiLAmspY20_EmaS,PV804886.1_Eulimnogammarus_marituji_C_AmspA14_COI_EmaritujiLUy15_EmaC,PV804887.1_Eulimnogammarus_marituji_S_AmspA15_COI_EmaritujiLAmspY20_EmaS,PV804888.1_Eulimnogammarus_marituji_C_AmspA97_COI_EmaritujiLUy15_EmaC,PV804889.1_Eulimnogammarus_marituji_C_AmspA163_COI_EmaritujiLUy15_EmaC,PV804891.1_Eulimnogammarus_marituji_C_Amspa165_COI_EmaritujiLUy15_EmaC,PV804892.1_Eulimnogammarus_marituji_C_Amspa166_COI_EmaritujiLUy15_EmaC,PV804893.1_Eulimnogammarus_marituji_S_GRA1_COI_EmaritujiLAmspY20_EmaS,PV804894.1_Eulimnogammarus_marituji_C_GRA3_COI_EmaritujiLUy15_EmaC,PV804895.1_Eulimnogammarus_marituji_S_GRA4_COI_EmaritujiLAmspY20_EmaS,PV804896.1_Eulimnogammarus_marituji_S_GRA5_COI_EmaritujiLAmspY20_EmaS,PV804897.1_Eulimnogammarus_marituji_S_GRA6_COI_EmaritujiLAmspY20_EmaS,PV804898.1_Eulimnogammarus_marituji_C_BolR1_COI_EmaritujiLUy15_EmaC,PV804899.1_Eulimnogammarus_marituji_C_BolR2_COI_EmaritujiLUy15_EmaC,PV804900.1_Eulimnogammarus_marituji_C_BolR3_COI_EmaritujiLUy15_EmaC,PV804901.1_Eulimnogammarus_marituji_C_BolR4_COI_EmaritujiLUy15_EmaC,PV804902.1_Eulimnogammarus_marituji_W_EmaritL1_COI_EmaritujiL5_EmaW,PV804903.1_Eulimnogammarus_marituji_W_EmarBK_COI_EmaritujiL5_EmaW,PV804904.1_Eulimnogammarus_marituji_W_LorBK_COI_EmaritujiL5_EmaW,PV804905.1_Eulimnogammarus_marituji_W_MRBK9_COI_EmaritujiL5_EmaW,PV804906.1_Eulimnogammarus_marituji_W_BK_COI_EmaritujiL5_EmaW,PV804907.1_Eulimnogammarus_marituji_S_MR1PB_COI_EmaritujiLAmspY20_EmaS,PV804908.1_Eulimnogammarus_marituji_S_MR2PB_COI_EmaritujiLAmspY20_EmaS,PV804909.1_Eulimnogammarus_marituji_W_EmarL12_COI_EmaritujiL5_EmaW,PV804910.1_Eulimnogammarus_marituji_W_EmarL11_COI_EmaritujiL5_EmaW,PV804911.1_Eulimnogammarus_marituji_W_EmarL10_COI_EmaritujiL5_EmaW,PV804912.1_Eulimnogammarus_marituji_W_EmarL9_COI_EmaritujiL5_EmaW,PV804913.1_Eulimnogammarus_marituji_W_EmarL8_COI_EmaritujiL5_EmaW,PV804914.1_Eulimnogammarus_marituji_W_EmarL7_COI_EmaritujiL5_EmaW,PV804915.1_Eulimnogammarus_marituji_W_EmarL6_COI_EmaritujiL5_EmaW,PV804916.1_Eulimnogammarus_marituji_W_EmarL5_COI_EmaritujiL5_EmaW,PV804917.1_Eulimnogammarus_marituji_W_EmarL4_COI_EmaritujiL5_EmaW,PV804918.1_Eulimnogammarus_marituji_W_EmarL3_COI_EmaritujiL5_EmaW,PV804919.1_Eulimnogammarus_marituji_W_EmarL2_COI_EmaritujiL5_EmaW,PV804920.1_Eulimnogammarus_marituji_W_EmarL1_COI_EmaritujiL5_EmaW,PV804921.1_Eulimnogammarus_marituji_C_Uy12_COI_EmaritujiLUy15_EmaC,PV804922.1_Eulimnogammarus_marituji_C_Uy13_COI_EmaritujiLUy15_EmaC,PV804923.1_Eulimnogammarus_marituji_C_Uy14_COI_EmaritujiLUy15_EmaC,PV804924.1_Eulimnogammarus_marituji_C_Uy15_COI_EmaritujiLUy15_EmaC,PV804925.1_Eulimnogammarus_marituji_C_Uy16_COI_EmaritujiLUy15_EmaC,PV804926.1_Eulimnogammarus_marituji_C_Uy17_COI_EmaritujiLUy15_EmaC,PV804927.1_Eulimnogammarus_marituji_S_AmspY9_COI_EmaritujiLAmspY20_EmaS,PV804928.1_Eulimnogammarus_marituji_W_AmspY10_COI_EmaritujiL5_EmaW,PV804929.1_Eulimnogammarus_marituji_W_AmspY11_COI_EmaritujiL5_EmaW,PV804930.1_Eulimnogammarus_marituji_S_AmspY12_COI_EmaritujiLAmspY20_EmaS,PV804931.1_Eulimnogammarus_marituji_S_AmspY13_COI_EmaritujiLAmspY20_EmaS,PV804932.1_Eulimnogammarus_marituji_W_AmspY14_COI_EmaritujiL5_EmaW,PV804933.1_Eulimnogammarus_marituji_S_AmspY15_COI_EmaritujiLAmspY20_EmaS,PV804934.1_Eulimnogammarus_marituji_S_AmspY16_COI_EmaritujiLAmspY20_EmaS,PV804935.1_Eulimnogammarus_marituji_W_AmspY18_COI_EmaritujiL5_EmaW,PV804936.1_Eulimnogammarus_marituji_S_AmspY19_COI_EmaritujiLAmspY20_EmaS,PV804937.1_Eulimnogammarus_marituji_S_AmspY20_COI_EmaritujiLAmspY20_EmaS,PV804938.1_Eulimnogammarus_marituji_C_Ya2_1_COI_EmaritujiLUy15_EmaC,PV804939.1_Eulimnogammarus_marituji_C_Ya3_COI_EmaritujiLUy15_EmaC,PV804940.1_Eulimnogammarus_marituji_C_Ya4_COI_EmaritujiLUy15_EmaC,PV804941.1_Eulimnogammarus_marituji_C_Ya7_1_COI_EmaritujiLUy15_EmaC,PV804942.1_Eulimnogammarus_marituji_C_Ya7_2_COI_EmaritujiLUy15_EmaC,PV804943.1_Eulimnogammarus_marituji_C_Ya8_2_COI_EmaritujiLUy15_EmaC,PV804946.1_Eulimnogammarus_marituji_C_W247_COI_EmaritujiLUy15_EmaC
PV804899.1_Eulimnogammarus_marituji_C_BolR2_COI_EmaritujiLUy15_EmaC,0.1038805177,0.1038805177,0.1038805177,0.1038805177,0.1038805177,0.1038805177,0.0080808081,0.1063486431,0.0040080160,0.0163189364,0.0163189364,0.0163189364,0.1038805177,0.0019960080,0.1067456351,0.1038805177,0.1038805177,0.0163189364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804900.1_Eulimnogammarus_marituji_C_BolR3_COI_EmaritujiLUy15_EmaC,0.1031290282,0.1031290282,0.1031290282,0.1031290282,0.1031290282,0.1031290282,0.0142239673,0.1056007258,0.0163189364,0.0000000000,0.0000000000,0.0000000000,0.1031290282,0.0142239673,0.1003178416,0.1031290282,0.1031290282,0.0000000000,0.0163189364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804901.1_Eulimnogammarus_marituji_C_BolR4_COI_EmaritujiLUy15_EmaC,0.1031290282,0.1031290282,0.1031290282,0.1031290282,0.1031290282,0.1031290282,0.0142239673,0.1056007258,0.0163189364,0.0000000000,0.0000000000,0.0000000000,0.1031290282,0.0142239673,0.1003178416,0.1031290282,0.1031290282,0.0000000000,0.0163189364,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804902.1_Eulimnogammarus_marituji_W_EmaritL1_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804903.1_Eulimnogammarus_marituji_W_EmarBK_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804904.1_Eulimnogammarus_marituji_W_LorBK_COI_EmaritujiL5_EmaW,0.0902874903,0.0902874903,0.0902874903,0.0902874903,0.0902874903,0.0902874903,0.0761619891,0.0926878163,0.0761619891,0.0706622791,0.0706622791,0.0706622791,0.0902874903,0.0787483733,0.0875670862,0.0902874903,0.0902874903,0.0706622791,0.0813583775,0.0706622791,0.0706622791,0.0019940199,0.0019940199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804905.1_Eulimnogammarus_marituji_W_MRBK9_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804906.1_Eulimnogammarus_marituji_W_BK_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804907.1_Eulimnogammarus_marituji_S_MR1PB_COI_EmaritujiLAmspY20_EmaS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1038805177,0.0019940199,0.1038805177,0.1031290282,0.1031290282,0.1031290282,0.0000000000,0.1067456351,0.0019960080,0.0000000000,0.0000000000,0.1031290282,0.1038805177,0.1031290282,0.1031290282,0.0879018296,0.0879018296,0.0902874903,0.0879018296,0.0879018296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804908.1_Eulimnogammarus_marituji_S_MR2PB_COI_EmaritujiLAmspY20_EmaS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1038805177,0.0019940199,0.1038805177,0.1031290282,0.1031290282,0.1031290282,0.0000000000,0.1067456351,0.0019960080,0.0000000000,0.0000000000,0.1031290282,0.1038805177,0.1031290282,0.1031290282,0.0879018296,0.0879018296,0.0902874903,0.0879018296,0.0879018296,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804909.1_Eulimnogammarus_marituji_W_EmarL12_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804910.1_Eulimnogammarus_marituji_W_EmarL11_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804911.1_Eulimnogammarus_marituji_W_EmarL10_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804912.1_Eulimnogammarus_marituji_W_EmarL9_COI_EmaritujiL5_EmaW,0.0906349311,0.0906349311,0.0906349311,0.0906349311,0.0906349311,0.0906349311,0.0764047642,0.0930333783,0.0764047642,0.0708533734,0.0708533734,0.0708533734,0.0906349311,0.0790029181,0.0879018296,0.0906349311,0.0906349311,0.0708533734,0.0816248538,0.0708533734,0.0708533734,0.0019960080,0.0019960080,0.0039980040,0.0019960080,0.0019960080,0.0906349311,0.0906349311,0.0019960080,0.0019960080,0.0019960080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804913.1_Eulimnogammarus_marituji_W_EmarL8_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,0.0000000000,0.0000000000,0.0000000000,0.0019960080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804914.1_Eulimnogammarus_marituji_W_EmarL7_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,0.0000000000,0.0000000000,0.0000000000,0.0019960080,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804915.1_Eulimnogammarus_marituji_W_EmarL6_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,0.0000000000,0.0000000000,0.0000000000,0.0019960080,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV804916.1_Eulimnogammarus_marituji_W_EmarL5_COI_EmaritujiL5_EmaW,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0879018296,0.0738300699,0.0902874903,0.0738300699,0.0683471827,0.0683471827,0.0683471827,0.0879018296,0.0764047642,0.0851940346,0.0879018296,0.0879018296,0.0683471827,0.0790029181,0.0683471827,0.0683471827,0.0000000000,0.0000000000,0.0019940199,0.0000000000,0.0000000000,0.0879018296,0.0879018296,0.0000000000,0.0000000000,0.0000000000,0.0019960080,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
