,PV804880_Eulimnogammarus_marituji_S_AmspA1_COI_EmaritujiLAmspY20_EmaS,PV804881_Eulimnogammarus_marituji_S_AmspA2_COI_EmaritujiLAmspY20_EmaS,PV804886_Eulimnogammarus_marituji_C_AmspA14_COI_EmaritujiLUy15_EmaC,PV804888_Eulimnogammarus_marituji_C_AmspA97_COI_EmaritujiLUy15_EmaC,PV804894_Eulimnogammarus_marituji_C_GRA3_COI_EmaritujiLUy15_EmaC,PV804899_Eulimnogammarus_marituji_C_BolR2_COI_EmaritujiLUy15_EmaC,PV804924_Eulimnogammarus_marituji_C_Uy15_COI_EmaritujiLUy15_EmaC,PV804925_Eulimnogammarus_marituji_C_Uy16_COI_EmaritujiLUy15_EmaC,PV804926_Eulimnogammarus_marituji_C_Uy17_COI_EmaritujiLUy15_EmaC,PV804921_Eulimnogammarus_marituji_C_Uy12_COI_EmaritujiLUy15_EmaC,PV804922_Eulimnogammarus_marituji_C_Uy13_COI_EmaritujiLUy15_EmaC,PV804938_Eulimnogammarus_marituji_C_Ya2_1_COI_EmaritujiLUy15_EmaC,PV804889_Eulimnogammarus_marituji_C_AmspA163_COI_EmaritujiLUy15_EmaC,PV804941_Eulimnogammarus_marituji_C_Ya7_1_COI_EmaritujiLUy15_EmaC,PV804901_Eulimnogammarus_marituji_C_BolR4_COI_EmaritujiLUy15_EmaC,PV804939_Eulimnogammarus_marituji_C_Ya3_COI_EmaritujiLUy15_EmaC,PV804923_Eulimnogammarus_marituji_C_Uy14_COI_EmaritujiLUy15_EmaC,PV804943_Eulimnogammarus_marituji_C_Ya8_2_COI_EmaritujiLUy15_EmaC,PV804900_Eulimnogammarus_marituji_C_BolR3_COI_EmaritujiLUy15_EmaC,PV804892_Eulimnogammarus_marituji_C_Amspa166_COI_EmaritujiLUy15_EmaC,PV804898_Eulimnogammarus_marituji_C_BolR1_COI_EmaritujiLUy15_EmaC,PV804942_Eulimnogammarus_marituji_C_Ya7_2_COI_EmaritujiLUy15_EmaC,PV804940_Eulimnogammarus_marituji_C_Ya4_COI_EmaritujiLUy15_EmaC,PV804891_Eulimnogammarus_marituji_C_Amspa165_COI_EmaritujiLUy15_EmaC,PV804946_Eulimnogammarus_marituji_C_W247_COI_EmaritujiLUy15_EmaC,PV804902_Eulimnogammarus_marituji_W_EmaritL1_COI_EmaritujiL5_EmaW,PV804918_Eulimnogammarus_marituji_W_EmarL3_COI_EmaritujiL5_EmaW,PV804913_Eulimnogammarus_marituji_W_EmarL8_COI_EmaritujiL5_EmaW,PV804916_Eulimnogammarus_marituji_W_EmarL5_COI_EmaritujiL5_EmaW,PV804910_Eulimnogammarus_marituji_W_EmarL11_COI_EmaritujiL5_EmaW,PV804906_Eulimnogammarus_marituji_W_BK_COI_EmaritujiL5_EmaW,PV804909_Eulimnogammarus_marituji_W_EmarL12_COI_EmaritujiL5_EmaW,PV804911_Eulimnogammarus_marituji_W_EmarL10_COI_EmaritujiL5_EmaW,PV804915_Eulimnogammarus_marituji_W_EmarL6_COI_EmaritujiL5_EmaW,PV804919_Eulimnogammarus_marituji_W_EmarL2_COI_EmaritujiL5_EmaW,PV804905_Eulimnogammarus_marituji_W_MRBK9_COI_EmaritujiL5_EmaW,PV804914_Eulimnogammarus_marituji_W_EmarL7_COI_EmaritujiL5_EmaW,PV804912_Eulimnogammarus_marituji_W_EmarL9_COI_EmaritujiL5_EmaW,PV804904_Eulimnogammarus_marituji_W_LorBK_COI_EmaritujiL5_EmaW,PV804917_Eulimnogammarus_marituji_W_EmarL4_COI_EmaritujiL5_EmaW,PV804903_Eulimnogammarus_marituji_W_EmarBK_COI_EmaritujiL5_EmaW,PV804920_Eulimnogammarus_marituji_W_EmarL1_COI_EmaritujiL5_EmaW,PV804928_Eulimnogammarus_marituji_W_AmspY10_COI_EmaritujiL5_EmaW,PV804929_Eulimnogammarus_marituji_W_AmspY11_COI_EmaritujiL5_EmaW,PV804932_Eulimnogammarus_marituji_W_AmspY14_COI_EmaritujiL5_EmaW,PV804895_Eulimnogammarus_marituji_S_GRA4_COI_EmaritujiLAmspY20_EmaS,PV804931_Eulimnogammarus_marituji_S_AmspY13_COI_EmaritujiLAmspY20_EmaS,PV804887_Eulimnogammarus_marituji_S_AmspA15_COI_EmaritujiLAmspY20_EmaS,PV804934_Eulimnogammarus_marituji_S_AmspY16_COI_EmaritujiLAmspY20_EmaS,PV804936_Eulimnogammarus_marituji_S_AmspY19_COI_EmaritujiLAmspY20_EmaS,PV804927_Eulimnogammarus_marituji_S_AmspY9_COI_EmaritujiLAmspY20_EmaS,PV804933_Eulimnogammarus_marituji_S_AmspY15_COI_EmaritujiLAmspY20_EmaS,PV804937_Eulimnogammarus_marituji_S_AmspY20_COI_EmaritujiLAmspY20_EmaS,PV804893_Eulimnogammarus_marituji_S_GRA1_COI_EmaritujiLAmspY20_EmaS,PV804907_Eulimnogammarus_marituji_S_MR1PB_COI_EmaritujiLAmspY20_EmaS,PV804883_Eulimnogammarus_marituji_S_AmspA6_COI_EmaritujiLAmspY20_EmaS,PV804882_Eulimnogammarus_marituji_S_AmspA5_COI_EmaritujiLAmspY20_EmaS,PV804885_Eulimnogammarus_marituji_S_AmspA12_COI_EmaritujiLAmspY20_EmaS,PV804930_Eulimnogammarus_marituji_S_AmspY12_COI_EmaritujiLAmspY20_EmaS,PV804884_Eulimnogammarus_marituji_S_AmspA11_COI_EmaritujiLAmspY20_EmaS,PV804897_Eulimnogammarus_marituji_S_GRA6_COI_EmaritujiLAmspY20_EmaS,PV804896_Eulimnogammarus_marituji_S_GRA5_COI_EmaritujiLAmspY20_EmaS,PV804908_Eulimnogammarus_marituji_S_MR2PB_COI_EmaritujiLAmspY20_EmaS
PV804922_Eulimnogammarus_marituji_C_Uy13_COI_EmaritujiLUy15_EmaC,0.1142518078,0.1142508094,0.0062008012,0.0062159134,0.0041511444,0.0083116640,0.0041398964,0.0041491578,0.0041460793,0.0041471704,0,0.0062093458,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0125347823,0.0188004706,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0839491387,0.0860468218,0.0860587255,0.0860565060,0.0839471419,0.0881862128,0.0818410391,0.0839473341,0.0797350233,0.1121720250,0.1163330226,0.1163392016,0.1163317656,0.1163317656,0.1163275637,0.1184808824,0.1184808824,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,0.1142518078,
PV804938_Eulimnogammarus_marituji_C_Ya2_1_COI_EmaritujiLUy15_EmaC,0.1121746536,0.1121736552,0.0041236470,0.0082581748,0.0061934058,0.0103539254,0.0061821578,0.0061914192,0.0061883407,0.0061894318,0.0062093458,0,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0104576281,0.0167233164,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0818719845,0.0839696676,0.0839815713,0.0839793518,0.0818699877,0.0861090586,0.0797638849,0.0818701799,0.0776578691,0.1100948708,0.1142558684,0.1142620474,0.1142546114,0.1142546114,0.1142504095,0.1164037282,0.1164037282,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,0.1121746536,
PV804889_Eulimnogammarus_marituji_C_AmspA163_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804941_Eulimnogammarus_marituji_C_Ya7_1_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804901_Eulimnogammarus_marituji_C_BolR4_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804939_Eulimnogammarus_marituji_C_Ya3_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804923_Eulimnogammarus_marituji_C_Uy14_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804943_Eulimnogammarus_marituji_C_Ya8_2_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804900_Eulimnogammarus_marituji_C_BolR3_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804892_Eulimnogammarus_marituji_C_Amspa166_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804898_Eulimnogammarus_marituji_C_BolR1_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804942_Eulimnogammarus_marituji_C_Ya7_2_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804940_Eulimnogammarus_marituji_C_Ya4_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0000019968,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804891_Eulimnogammarus_marituji_C_Amspa165_COI_EmaritujiLUy15_EmaC,0.1128244347,0.1128234363,0.0104470867,0.0145836113,0.0125188423,0.0166793619,0.0125075943,0.0125168557,0.0125137772,0.0125148683,0.0125347823,0.0104576281,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0.0000019968,0,0.0062696819,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0846194487,0.0846313524,0.0846291329,0.0825197688,0.0867588397,0.0804136660,0.0825199610,0.0783076502,0.1107446519,0.1149056495,0.1149118285,0.1149043925,0.1149043925,0.1149001906,0.1170535093,0.1170535093,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,0.1128244347,
PV804946_Eulimnogammarus_marituji_C_W247_COI_EmaritujiLUy15_EmaC,0.1190901230,0.1190891246,0.0167127750,0.0208492996,0.0187845306,0.0229450502,0.0187732826,0.0187825440,0.0187794655,0.0187805566,0.0188004706,0.0167233164,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0.0062696819,0,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0887874539,0.0908851370,0.0908970407,0.0908948212,0.0887854571,0.0930245280,0.0866793543,0.0887856493,0.0845733385,0.1170103402,0.1211713378,0.1211775168,0.1211700808,0.1211700808,0.1211658789,0.1233191976,0.1233191976,0.1190901230,0.1190901230,0.1190901230,0.1190901230,0.1190901230,0.1190901230,0.1190901230,0.1190901230,0.1190901230,0.1190901230,
PV804902_Eulimnogammarus_marituji_W_EmaritL1_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804918_Eulimnogammarus_marituji_W_EmarL3_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804913_Eulimnogammarus_marituji_W_EmarL8_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804916_Eulimnogammarus_marituji_W_EmarL5_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804910_Eulimnogammarus_marituji_W_EmarL11_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804906_Eulimnogammarus_marituji_W_BK_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804909_Eulimnogammarus_marituji_W_EmarL12_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804911_Eulimnogammarus_marituji_W_EmarL10_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
PV804915_Eulimnogammarus_marituji_W_EmarL6_COI_EmaritujiL5_EmaW,0.0871346683,0.0871336699,0.0818614431,0.0859979677,0.0839331987,0.0880937183,0.0839219507,0.0839312121,0.0839281336,0.0839292247,0.0839491387,0.0818719845,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0825217656,0.0887874539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0020996799,0.0021135804,0.0021113609,0.0000039936,0.0042450613,0.0021100964,0.0042183882,0.0042161122,0.0850548855,0.0892158831,0.0892220621,0.0892146261,0.0892146261,0.0892104242,0.0913637429,0.0913637429,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,0.0871346683,
